LOT-ID,Rxn_ID,SMILES,exp_name,type,targets,catalyst,base,solvent,temperature
XLS001AI-AC3422-AMI452-20251028PG,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_EPhos Pd G4, 3.0_NaOTMS, 1ml_Dioxane, 80C_10h",Buchwald,0,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],C[Si](C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251023S4,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_BippyPhos, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].CC(C)(C)P(c1ccnn1-c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)C(C)(C)C,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926S3,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_BippyPhos, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].CC(C)(C)P(c1ccnn1-c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)C(C)(C)C,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926S6,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_DPEphos, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926S5,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_DPEphos, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028SA,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_JohnPhos, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028S9,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_JohnPhos, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028S8,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_Me4tBuxphos, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].Cc1c(C)c(C)c(P(C(C)(C)C)C(C)(C)C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1C,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028S7,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_Me4tBuxphos, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].Cc1c(C)c(C)c(P(C(C)(C)C)C(C)(C)C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1C,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028SC,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_XantPhos, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
