LOT-ID,Rxn_ID,SMILES,exp_name,type,targets,catalyst,base,solvent,temperature
XLS001AI-ARH550-AMI517-20250908T1,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_Pd2(dba)3, 0.2_tBu3P, 3.0_t-BuONa, 1ml_Toluene, 110C_10h",Buchwald,1,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC(C)(C)P(C(C)(C)C)C(C)(C)C,CC(C)(C)[O-].[Na+],Cc1ccccc1,110
XLS001AI-ARH550-AMI517-20250904PL,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_RuPhos Pd G3, 0.2_RuPhos, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,1,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-ARH550-AMI517-20250917P6,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_SPhos Pd G4, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-ARH550-AMI517-20250928L1,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_SPhos Pd G4, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,1,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-ARH550-AMI517-20250917P7,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_SPhos Pd G4, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,1,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-ARH550-AMI517-20250904D1,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_XantPhos Pd G4, 3.0_DBU, 1ml_Dioxane, 80C_10h",Buchwald,0,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O,C1CCC2=NCCCN2CC1,C1COCCO1,80
XLS001AI-ARH550-AMI517-20250904PB,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_XantPhos Pd G4, 3.0_K3PO4, 1ml_Dioxane, 80C_10h",Buchwald,0,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCCO1,80
XLS001AI-ARH550-AMI517-20250908L8,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_XantPhos Pd G4, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,1,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-ARH550-AMI517-20250917P2,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_Xphos Pd G4, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-ARH550-AMI517-20250917L2,ARH550_AMI517,Cl[c:6]1[c:5]2[cH:4][n:3][n:2]([CH3:1])[c:10]2[n:9][cH:8][n:7]1.[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][n:23][cH:24][cH:25]1>>[CH3:1][n:2]1[n:3][cH:4][c:5]2[c:6]([N:19]([CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[n:7][cH:8][n:9][c:10]12,"0.2_Xphos Pd G4, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,1,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
