"Column0","Unnamed: 0","rsmi","r_score","c_score","score","r_type","condition","patent_name","yield"
156487,4,"CC(C)(C)OC(=O)N1CCCC1COc1cncc(Br)c1.c1ccc(OCCC2CCNCC2)cc1>>CC(C)(C)OC(=O)N1CCC[C@H]1COc1cncc(N2CCC(CCOc3ccccc3)CC2)c1",1,0.9,0.95,"1.3.1","[{""structure_id"": """", ""structure_key"": ""InChI=1S/C4H9O.Na/c1-4(2,3)5;/h1-3H3;/q-1;+1"", ""iupac_name"": ""sodium tert-butoxide"", ""smiles"": ""CC(C)(C)[O-].[Na+]"", ""compound_id"": """", ""role"": ""base"", ""property"": ""strong_base"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""85 mg""}, {""s_type"": ""moles"", ""value"": ""0.89 mmol""}, {""s_type"": ""equivalents"", ""value"": ""1.5 equiv.""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/3C17H14O.2Pd/c3*18-17(13-11-15-7-3-1-4-8-15)14-12-16-9-5-2-6-10-16;;/h3*1-14H;;"", ""iupac_name"": ""tris (dibenzylideneacetone)dipalladium(0)"", ""smiles"": ""O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]"", ""compound_id"": """", ""role"": ""catalysts"", ""property"": ""transition_metal_catalyst"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""10.8 mg""}, {""s_type"": ""moles"", ""value"": ""12 umol""}, {""s_type"": ""equivalents"", ""value"": ""0.02 equiv.""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C39H32OP2/c1-39(2)33-25-15-27-35(41(29-17-7-3-8-18-29)30-19-9-4-10-20-30)37(33)40-38-34(39)26-16-28-36(38)42(31-21-11-5-12-22-31)32-23-13-6-14-24-32/h3-28H,1-2H3"", ""iupac_name"": ""4,5-bis(diphenylphosphino)-9,9-dimethylx- anthene"", ""smiles"": ""CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21"", ""compound_id"": """", ""role"": ""ligands"", ""property"": ""phosphine_ligand"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""20.6 mg""}, {""s_type"": ""moles"", ""value"": ""37 umol""}, {""s_type"": ""equivalents"", ""value"": ""0.06 equiv.""}]}]","US8445684","53%"
156488,5,"CC(C)(C)OC(=O)N1CCC[C@@H]1COc1cncc(Br)c1.Clc1ccc(COCCC2CCNCC2)cc1>>CC(C)(C)OC(=O)N1CCC[C@H]1COc1cncc(N2CCC(CCOCc3ccc(Cl)cc3)CC2)c1",1,0.9,0.95,"1.3.1","[{""structure_id"": """", ""structure_key"": ""InChI=1S/C4H9O.Na/c1-4(2,3)5;/h1-3H3;/q-1;+1"", ""iupac_name"": ""sodium tert-butoxide"", ""smiles"": ""CC(C)(C)[O-].[Na+]"", ""compound_id"": """", ""role"": ""base"", ""property"": ""strong base"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""139 mg""}, {""s_type"": ""moles"", ""value"": ""1.45 mmol""}, {""s_type"": ""equivalents"", ""value"": ""1.5 equiv.""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/3C17H14O.2Pd/c3*18-17(13-11-15-7-3-1-4-8-15)14-12-16-9-5-2-6-10-16;;/h3*1-14H;;"", ""iupac_name"": ""tris(dibenzylideneacetone)dipalladium(0)"", ""smiles"": ""O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]"", ""compound_id"": """", ""role"": ""catalysts"", ""property"": ""transition metal catalyst"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""17.7 mg""}, {""s_type"": ""moles"", ""value"": ""19 umol""}, {""s_type"": ""equivalents"", ""value"": ""0.02 equiv.""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C39H32OP2/c1-39(2)33-25-15-27-35(41(29-17-7-3-8-18-29)30-19-9-4-10-20-30)37(33)40-38-34(39)26-16-28-36(38)42(31-21-11-5-12-22-31)32-23-13-6-14-24-32/h3-28H,1-2H3"", ""iupac_name"": ""4,5-bis(diphenylphosphino)-9,9-dimethylxanthene"", ""smiles"": ""CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21"", ""compound_id"": """", ""role"": ""ligands"", ""property"": ""phosphine ligand"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""33.6 mg""}, {""s_type"": ""moles"", ""value"": ""58 umol""}, {""s_type"": ""equivalents"", ""value"": ""0.06 equiv.""}]}]","US8445684","85%"
156506,9,"Cc1cc(C)nc(N2CCNCC2)c1.O=[N+]([O-])c1ccc(Cl)cc1>>Cc1cc(C)nc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1",1,1,1,"1.3.2","[{""structure_id"": """", ""structure_key"": ""InChI=1S/CH2O3.2Cs/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2"", ""iupac_name"": ""caesium carbonate"", ""smiles"": ""O=C([O-])[O-].[Cs+].[Cs+]"", ""compound_id"": """", ""role"": ""base"", ""property"": ""inorganic_base"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""2.38 g""}, {""s_type"": ""moles"", ""value"": ""7.32 mmol""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/2C2H4O2.Pd/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2"", ""iupac_name"": ""palladium(II) acetate"", ""smiles"": ""CC(=O)[O-].CC(=O)[O-].[Pd+2]"", ""compound_id"": """", ""role"": ""catalysts"", ""property"": ""transition_metal_catalyst"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""50 mg""}, {""s_type"": ""moles"", ""value"": ""0.22 mmol""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C26H36NP/c1-27(2)25-19-11-9-17-23(25)24-18-10-12-20-26(24)28(21-13-5-3-6-14-21)22-15-7-4-8-16-22/h9-12,17-22H,3-8,13-16H2,1-2H3"", ""iupac_name"": ""(2'-dicyclohexylphosphanyl-biphenyl-2-yl)-dimethyl-amine"", ""smiles"": ""CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1"", ""compound_id"": """", ""role"": ""ligands"", ""property"": ""phosphine_ligand"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""50 mg""}, {""s_type"": ""moles"", ""value"": ""0.13 mmol""}]}]","US8604029","35%"
156509,12,"Brc1ccc(-c2cc3ccccn3c2)cc1.C1COCCN1>>c1ccn2cc(-c3ccc(N4CCOCC4)cc3)cc2c1",1,0.81,0.905,"1.3.1","[{""structure_id"": """", ""structure_key"": ""InChI=1S/2C18H15P.2ClH.Pd/c2*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;;;/h2*1-15H;2*1H;/q;;;;+2/p-2"", ""iupac_name"": ""bis-(triphenylphosphine)-palladium (II) chloride"", ""smiles"": ""[Cl-].[Cl-].[Pd+2].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1"", ""compound_id"": """", ""role"": ""catalysts"", ""property"": ""transition metal catalyst"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""120 mg""}]}]","US8604029","24%"
156570,38,"CC(=O)Nc1nc2ccc(-c3cncc(Cl)n3)cc2s1.CC(C)(C)N>>CC(=O)Nc1nc2ccc(-c3cncc(NC(C)(C)C)n3)cc2s1",1,0.7290000000000001,0.8645,"1.3.2","[{""structure_id"": """", ""structure_key"": ""InChI=1S/Na.H/q+1;-1"", ""iupac_name"": ""sodium hydride"", ""smiles"": ""[H-].[Na+]"", ""compound_id"": """", ""role"": ""base"", ""property"": ""strong_base"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""0.047 g""}, {""s_type"": ""moles"", ""value"": ""2.0 mmol""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C13H9ClN4OS/c1-7(19)16-13-18-9-3-2-8(4-11(9)20-13)10-5-15-6-12(14)17-10/h2-6H,1H3,(H,16,18,19)"", ""iupac_name"": ""N-(6-(6-chloropyrazin-2-yl)benzo[d]thiazol-2-yl)acetamide"", ""smiles"": ""CC(=O)Nc1nc2ccc(-c3cncc(Cl)n3)cc2s1"", ""compound_id"": """", ""role"": ""other_reagent"", ""property"": ""aryl_chloride_reactant"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""0.100 g""}, {""s_type"": ""moles"", ""value"": ""0.30 mmol""}]}]","US20090054405A1","4% yield"
156765,3,"Clc1ccc(Br)cc1Cl.c1cc(N2CCNCC2)ccc1OCCCN1CCCCC1.c1cc(N2CCNCC2)ccc1OCCCN1CCCCC1.c1cc(N2CCNCC2)ccc1OCCCN1CCCCC1>>Clc1ccc(N2CCN(c3ccc(OCCCN4CCCCC4)cc3)CC2)cc1Cl",1,0.7290000000000001,0.8645,"1.3.1","[{""structure_id"": """", ""structure_key"": ""InChI=1S/3C17H14O.2Pd/c3*18-17(13-11-15-7-3-1-4-8-15)14-12-16-9-5-2-6-10-16;;/h3*1-14H;;"", ""iupac_name"": ""Tris(dibenzylidineacetone) di palladium (0)"", ""smiles"": ""O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]"", ""compound_id"": """", ""role"": ""catalysts"", ""property"": ""transition metal catalyst"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""23 mg""}, {""s_type"": ""purity"", ""value"": ""5 mol %""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C18H29N3O/c1-2-11-20(12-3-1)13-4-16-22-18-7-5-17(6-8-18)21-14-9-19-10-15-21/h5-8,19H,1-4,9-16H2"", ""iupac_name"": ""1-[4-(3-piperidin-1-yl-propoxy)-phenyl]-piperazine"", ""smiles"": ""c1cc(N2CCNCC2)ccc1OCCCN1CCCCC1"", ""compound_id"": ""D11"", ""role"": ""other_reagent"", ""property"": ""piperazine reactant"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""150 mg""}, {""s_type"": ""moles"", ""value"": ""0.49 mmol""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C6H3BrCl2/c7-4-1-2-5(8)6(9)3-4/h1-3H"", ""iupac_name"": ""3,4-dichloro bromo benzene"", ""smiles"": ""Clc1ccc(Br)cc1Cl"", ""compound_id"": """", ""role"": ""other_reagent"", ""property"": ""aryl halide reactant"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""160 mg""}, {""s_type"": ""equivalents"", ""value"": ""1.2 eq""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C4H9O.Na/c1-4(2,3)5;/h1-3H3;/q-1;+1"", ""iupac_name"": ""sodium tert-butoxide"", ""smiles"": ""CC(C)(C)[O-].[Na+]"", ""compound_id"": """", ""role"": ""base"", ""property"": ""strong base"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""71 mg""}, {""s_type"": ""equivalents"", ""value"": ""1.1 eq""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C44H32P2/c1-5-19-35(20-6-1)45(36-21-7-2-8-22-36)41-31-29-33-17-13-15-27-39(33)43(41)44-40-28-16-14-18-34(40)30-32-42(44)46(37-23-9-3-10-24-37)38-25-11-4-12-26-38/h1-32H"", ""iupac_name"": ""racemic 2,2'-bis(diphenylphosphino)-1,1'-binaphthyl"", ""smiles"": ""c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1"", ""compound_id"": """", ""role"": ""ligands"", ""property"": ""phosphine ligand"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""24 mg""}, {""s_type"": ""purity"", ""value"": ""7.5 mol %""}]}]","US20060025404A1",
156784,8,"C=C(C)c1cc(C(=O)N2Cc3ccc(Br)cc3C2)c(OCc2ccccc2)cc1OCc1ccccc1.CN1CCN(C2CCNCC2)CC1>>C=C(C)c1cc(C(=O)N2Cc3ccc(N4CCC(N5CCN(C)CC5)CC4)cc3C2)c(OCc2ccccc2)cc1OCc1ccccc1",1,0.6561,0.82805,"1.3.1","[]","US20100216782A1",
156788,12,"CC(C)(C)OC(=O)N1Cc2ccc(Br)cc2C1.CN1CCNCC1>>CN1CCN(c2ccc3c(c2)CN(C(=O)OC(C)(C)C)C3)CC1",1,0.9,0.95,"1.3.1","[{""structure_id"": """", ""structure_key"": ""InChI=1S/3C17H14O.2Pd/c3*18-17(13-11-15-7-3-1-4-8-15)14-12-16-9-5-2-6-10-16;;/h3*1-14H;;"", ""iupac_name"": ""Tris(dibenzylideneacetone)dipalladium (0)"", ""smiles"": ""O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]"", ""compound_id"": """", ""role"": ""catalysts"", ""property"": ""transition metal catalyst"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""228 mg""}, {""s_type"": ""moles"", ""value"": ""0.25 mmol""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C20H27P/c1-19(2,3)21(20(4,5)6)18-15-11-10-14-17(18)16-12-8-7-9-13-16/h7-15H,1-6H3"", ""iupac_name"": ""2-(di-tert-butylphosphino) biphenyl"", ""smiles"": ""CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C"", ""compound_id"": """", ""role"": ""ligands"", ""property"": ""phosphine ligand"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""149 mg""}, {""s_type"": ""moles"", ""value"": ""0.50 mmol""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C4H9O.Na/c1-4(2,3)5;/h1-3H3;/q-1;+1"", ""iupac_name"": ""sodium tert-butoxide"", ""smiles"": ""CC(C)(C)[O-].[Na+]"", ""compound_id"": """", ""role"": ""base"", ""property"": ""strong base"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""1.34 g""}, {""s_type"": ""moles"", ""value"": ""13.9 mmol""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"", ""iupac_name"": ""toluene"", ""smiles"": ""Cc1ccccc1"", ""compound_id"": """", ""role"": ""solvents"", ""property"": ""non-polar solvent"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""25 mL""}]}, {""structure_id"": """", ""structure_key"": ""InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3"", ""iupac_name"": ""N-methylpiperazine"", ""smiles"": ""CN1CCNCC1"", ""compound_id"": """", ""role"": ""other_reagent"", ""property"": ""amine reactant"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""1.33 mL""}, {""s_type"": ""moles"", ""value"": ""12 mmol""}]}]","US20100216782A1","46%"
156791,15,"C=C(C)c1cc(C(=O)N2Cc3ccc(Br)cc3C2)c(OCc2ccccc2)cc1OCc1ccccc1.CN1CCNCC1>>C=C(C)c1cc(C(=O)N2Cc3ccc(N4CCN(C)CC4)cc3C2)c(OCc2ccccc2)cc1OCc1ccccc1",1,0.9,0.95,"1.3.1","[{""structure_id"": """", ""structure_key"": ""InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"", ""iupac_name"": ""toluene"", ""smiles"": ""Cc1ccccc1"", ""compound_id"": """", ""role"": ""solvents"", ""property"": ""nonpolar_aprotic_solvent"", ""specification"": [{""s_type"": ""quantity"", ""value"": ""100 mL""}]}]","US20100216782A1",
156970,1,"C1COCCN1.COc1cc2ncc(NC3CCCCC3)nc2cc1Br>>COc1cc2ncc(NC3CCCCC3)nc2cc1N1CCOCC1",1,0.81,0.905,"1.3.1","[]","US20010023250A1",
